[2018-04-26 13:53:17,142] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=58#page:200
[2018-04-26 13:53:18,259] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=59 HTTP/1.1" 200 None
[2018-04-26 13:53:18,451] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=59#page:200
[2018-04-26 13:53:20,094] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=60 HTTP/1.1" 200 None
[2018-04-26 13:53:20,286] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=60#page:200
[2018-04-26 13:53:22,086] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=61 HTTP/1.1" 200 None
[2018-04-26 13:53:22,388] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=61#page:200
[2018-04-26 13:53:23,509] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=62 HTTP/1.1" 200 None
[2018-04-26 13:53:23,697] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=62#page:200
[2018-04-26 13:53:24,757] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=63 HTTP/1.1" 200 None
[2018-04-26 13:53:24,921] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=63#page:200
[2018-04-26 13:53:25,816] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=64 HTTP/1.1" 200 None
[2018-04-26 13:53:26,114] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=64#page:200
[2018-04-26 13:53:27,528] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=65 HTTP/1.1" 200 None
[2018-04-26 13:53:27,773] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=65#page:200
[2018-04-26 13:53:29,417] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=66 HTTP/1.1" 200 None
[2018-04-26 13:53:29,776] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=66#page:200
[2018-04-26 13:53:31,530] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=67 HTTP/1.1" 200 None
[2018-04-26 13:53:32,039] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=67#page:200
